Velocity,Drag
204.257,130.392
204.577,130.712
204.544,130.538
204.096,129.787
203.386,128.677
202.47,127.29
201.4,125.704
200.214,123.974
199.938,123.576
199.525,122.98
198.907,122.092
197.985,120.774
196.787,119.077
195.6,117.409
194.422,115.77
193.254,114.159
192.096,112.574
190.947,111.017
189.806,109.485
188.675,107.979
187.553,106.497
186.439,105.045
185.334,103.617
184.237,102.212
183.148,100.829
182.067,99.469
180.995,98.13
179.93,96.812
178.873,95.514
177.824,94.237
176.782,92.98
175.747,91.742
174.72,90.523
173.699,89.322
172.686,88.14
171.68,86.975
170.68,85.828
169.688,84.698
168.702,83.585
167.722,82.488
166.749,81.408
165.782,80.343
164.822,79.294
163.867,78.26
162.919,77.24
161.976,76.236
161.04,75.245
160.109,74.269
159.184,73.307
158.265,72.358
157.351,71.422
156.443,70.499
155.54,69.59
154.642,68.693
153.75,67.808
152.863,66.935
151.981,66.074
151.104,65.225
150.232,64.387
149.365,63.561
148.503,62.746
147.645,61.941
146.793,61.148
145.945,60.365
145.101,59.592
144.262,58.829
143.428,58.076
142.598,57.334
141.772,56.6
140.951,55.877
140.134,55.162
139.321,54.457
138.512,53.761
137.707,53.074
136.906,52.395
136.11,51.725
135.317,51.064
134.528,50.411
133.743,49.766
132.962,49.129
132.184,48.5
131.41,47.879
130.64,47.266
129.873,46.66
129.11,46.061
128.351,45.472
127.595,44.89
126.842,44.315
126.093,43.747
125.347,43.185
124.604,42.631
123.865,42.083
123.128,41.542
122.395,41.007
121.665,40.478
120.939,39.956
120.215,39.44
119.494,38.93
118.776,38.426
118.062,37.928
117.35,37.435
116.641,36.949
115.935,36.468
115.232,35.993
114.531,35.523
113.833,35.059
113.138,34.6
112.446,34.146
111.756,33.698
111.069,33.255
110.385,32.816
109.703,32.383
109.024,31.955
108.347,31.532
107.673,31.113
107.001,30.699
106.332,30.29
105.665,29.886
105,29.486
104.338,29.09
103.678,28.699
103.02,28.312
102.365,27.93
101.712,27.552
101.061,27.178
100.412,26.809
99.765,26.443
99.121,26.082
98.479,25.725
97.838,25.371
97.2,25.022
96.564,24.676
95.93,24.334
95.298,23.996
94.668,23.662
94.04,23.331
93.414,23.004
92.79,22.681
92.167,22.361
91.547,22.045
90.928,21.732
90.312,21.423
89.697,21.117
89.083,20.815
88.472,20.515
87.862,20.219
87.255,19.927
86.648,19.637
86.044,19.351
85.441,19.068
84.84,18.788
84.241,18.511
83.643,18.237
83.047,17.966
82.452,17.698
81.859,17.433
81.267,17.17
80.677,16.911
80.089,16.655
79.502,16.401
78.917,16.15
78.333,15.902
77.75,15.657
77.169,15.414
76.589,15.175
76.011,14.937
75.434,14.703
74.859,14.471
74.285,14.241
73.712,14.014
73.14,13.79
72.57,13.568
72.001,13.348
71.434,13.131
70.868,12.917
70.303,12.704
69.739,12.495
69.176,12.287
68.615,12.082
68.055,11.879
67.496,11.679
66.938,11.48
66.382,11.284
65.826,11.091
65.272,10.899
64.719,10.71
64.167,10.522
63.616,10.337
63.066,10.154
62.517,9.973
61.97,9.795
61.423,9.618
60.877,9.443
60.333,9.271
59.789,9.101
59.247,8.932
58.705,8.766
58.164,8.601
57.625,8.439
57.086,8.278
56.548,8.119
56.011,7.963
55.476,7.808
54.941,7.655
54.406,7.503
53.873,7.354
53.341,7.207
52.809,7.061
52.279,6.917
51.749,6.775
51.22,6.635
50.692,6.496
50.165,6.359
49.638,6.224
49.112,6.091
48.588,5.959
48.063,5.829
47.54,5.701
47.017,5.574
46.495,5.455
45.974,5.338
45.454,5.222
44.934,5.108
44.415,4.995
43.896,4.884
43.378,4.774
42.861,4.665
42.344,4.558
41.829,4.452
41.313,4.347
40.798,4.244
40.284,4.142
39.771,4.041
39.258,3.942
38.746,3.844
38.234,3.748
37.723,3.652
37.212,3.558
36.702,3.466
36.192,3.374
35.683,3.284
35.175,3.196
34.667,3.108
34.159,3.022
33.653,2.937
33.146,2.853
32.64,2.771
32.135,2.69
31.63,2.61
31.125,2.531
30.621,2.454
30.117,2.377
29.614,2.303
29.112,2.229
28.609,2.156
28.107,2.085
27.606,2.015
27.105,1.946
26.604,1.879
26.104,1.812
25.604,1.747
25.105,1.683
24.606,1.62
24.107,1.558
23.608,1.498
23.11,1.439
22.613,1.381
22.115,1.324
21.618,1.268
21.122,1.214
20.625,1.161
20.129,1.108
19.634,1.057
19.138,1.008
18.643,0.959
18.148,0.912
17.654,0.865
17.159,0.82
16.665,0.776
16.171,0.734
15.678,0.692
15.184,0.652
14.691,0.613
14.198,0.575
13.706,0.538
13.213,0.502
12.721,0.468
12.229,0.434
11.737,0.402
11.246,0.371
10.754,0.341
10.263,0.313
9.772,0.285
9.281,0.259
8.79,0.234
8.3,0.211
7.809,0.188
7.319,0.167
6.828,0.147
6.338,0.128
5.848,0.11
5.358,0.094
4.868,0.079
4.379,0.065
3.889,0.052
3.399,0.041
2.91,0.031
2.42,0.022
1.931,0.015
1.441,0.009
0.952,0.005
0.463,0.002